village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,male_population,female_population,sc_st_population_share_pct,population_density_per_ha,surface_water_exposure,river_canal_present,tank_pond_lake_present,drainage_quality_score,road_connectivity_score,healthcare_access_score,nearest_town_dist_km,district_hq_dist_km,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,distance_to_river_km_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,rainfall_annual_mm_EXTERNAL_TOFILL,rainfall_24hr_max_mm_EXTERNAL_TOFILL,historical_flood_inundation_pct_EXTERNAL_TOFILL,historical_flood_event_count_EXTERNAL_TOFILL,runoff_coefficient_EXTERNAL_TOFILL,building_footprint_density_EXTERNAL_TOFILL,flood_hazard_score_TARGET,flood_damage_estimate_TARGET
521212,Alampura,Karjan,21.852286,73.21197,639.0,138.0,347.0,292.0,59.47,3.277,1,1.0,1.0,1,1,0,15.0,52.0,100.0,13.5,2.732,0.001,1120.0,246.4,31.4,2,0.55,0.26,0.364,33.0
521189,Ranapur,Karjan,21.948871,73.255503,1166.0,271.0,597.0,569.0,26.07,1.887,1,1.0,1.0,1,2,0,20.0,50.0,102.5,13.95,0.501,0.001,1102.0,249.6,46.6,3,0.51,0.15,0.516,77.8
521185,Latipur Timbi,Karjan,21.946091,73.184216,908.0,181.0,453.0,455.0,12.67,3.948,1,0.0,1.0,0,2,0,20.0,41.0,100.0,13.5,0.992,0.001,1107.4,247.2,43.0,3,0.57,0.32,0.49,66.1
521005,Surajghoda,Dabhoi,22.067393,73.538224,77.0,15.0,45.0,32.0,23.38,0.975,0,0.0,0.0,0,2,0,16.0,48.0,95.0,12.6,0.943,0.002,1098.4,246.4,43.7,3,0.48,0.08,0.479,4.5
521135,Kanabha,Karjan,22.0648,73.030688,1574.0,316.0,803.0,771.0,10.42,3.49,1,1.0,0.0,0,2,0,10.0,45.0,92.5,12.15,0.026,0.0,1071.4,245.6,51.0,3,0.55,0.28,0.553,125.3
521141,Karamadi,Karjan,22.050547,73.08421,1763.0,413.0,920.0,843.0,57.01,4.509,1,1.0,1.0,0,2,0,3.0,40.0,90.0,11.7,1.438,0.0,1087.6,247.2,39.8,3,0.59,0.36,0.466,125.7
521220,Vaniyad,Sinor,22.028989,73.401592,851.0,184.0,447.0,404.0,49.0,1.347,1,0.0,1.0,2,2,0,14.0,48.0,105.0,14.4,2.85,0.0,1098.4,244.8,29.9,2,0.49,0.11,0.346,36.8
521206,Lilod,Karjan,21.882002,73.226019,1223.0,268.0,610.0,613.0,28.37,3.16,1,1.0,0.0,1,2,0,18.0,54.0,100.0,13.5,0.338,0.0,1094.8,250.4,48.2,3,0.54,0.25,0.532,91.5
521097,Bhadara,Padra,22.141,73.033592,730.0,137.0,365.0,365.0,9.04,1.896,1,0.0,1.0,1,2,0,13.0,40.0,95.0,11.7,0.559,0.001,1085.8,245.6,46.3,3,0.51,0.15,0.51,48.2
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,619.0,133.0,331.0,288.0,9.37,3.174,1,1.0,0.0,0,1,0,22.0,22.0,87.5,12.15,0.034,0.001,1076.8,246.4,50.7,3,0.55,0.25,0.569,49.5
