village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,pct_non_agri_builtup,irrigation_coverage_pct,cover_management_index_C_proxy,slope_deg_EXTERNAL_TOFILL,slope_length_m_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,soil_erodibility_K_EXTERNAL_TOFILL,rainfall_erosivity_R_EXTERNAL_TOFILL,support_practice_P_EXTERNAL_TOFILL,erosion_risk_score_TARGET,slope_steepness,rainfall_erosivity_calc,soil_resistance,vegetation_cover,bare_soil_ratio,erosion_risk_category
521212,Alampura,Karjan,21.852286,73.21197,195.0,0.0,7.69,89.23,0.0,1.03,2.05,100.0,0.338,13.5,212.0,Deep Black Cotton Soil,0.36,485.6,0.75,0.98,0.2334453638559054,485.6,2.7027027027027026,1.03,7.69,Very High
521189,Ranapur,Karjan,21.948871,73.255503,618.0,0.0,23.14,69.26,0.0,5.02,2.59,70.09,0.424,13.95,217.4,Deep Black Cotton Soil,0.369,479.0,0.9,0.98,0.24107506083303862,479.0,2.638522427440633,5.02,23.14,Very High
521185,Latipur Timbi,Karjan,21.946091,73.184216,230.0,0.0,1.87,90.19,0.0,0.0,2.34,100.0,0.287,13.5,212.0,Deep Black Cotton Soil,0.363,481.0,0.75,0.98,0.2334453638559054,481.0,2.680965147453083,0.0,1.87,Very High
521005,Surajghoda,Dabhoi,22.067393,73.538224,79.0,0.0,7.69,87.18,0.0,3.85,1.28,55.88,0.337,12.6,201.2,Deep Black Cotton Soil,0.368,477.7,0.75,0.98,0.21814324139654254,477.7,2.6455026455026456,3.85,7.69,Very High
521135,Kanabha,Karjan,22.0648,73.030688,451.0,0.0,1.01,77.37,17.78,2.63,1.21,75.72,0.352,12.15,195.8,Deep Black Cotton Soil,0.298,467.9,0.75,0.98,0.21047175982130567,467.9,3.2467532467532467,2.63,18.790000000000003,Very High
521141,Karamadi,Karjan,22.050547,73.08421,391.0,0.0,5.22,62.39,30.0,1.09,1.3,87.11,0.416,11.7,190.4,Deep Black Cotton Soil,0.311,473.8,0.9,0.98,0.20278729535651246,473.8,3.115264797507788,1.09,35.22,Very High
521220,Vaniyad,Sinor,22.028989,73.401592,632.0,0.0,0.79,82.12,0.0,2.22,14.87,92.5,0.257,14.4,222.8,Deep Black Cotton Soil,0.4,477.7,0.75,0.98,0.2486898871648548,477.7,2.4390243902439024,2.22,0.79,Very High
521206,Lilod,Karjan,21.882002,73.226019,387.0,0.0,19.57,57.25,13.04,8.45,1.69,75.95,0.439,13.5,212.0,Deep Black Cotton Soil,0.37,476.4,0.9,0.98,0.2334453638559054,476.4,2.6315789473684212,8.45,32.61,Very High
521097,Bhadara,Padra,22.141,73.033592,385.0,0.0,4.42,85.71,0.0,8.57,1.3,21.21,0.31,11.7,190.4,Alluvial Loamy Soil,0.293,473.1,0.75,0.98,0.20278729535651246,473.1,3.3003300330033003,8.57,4.42,Very High
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,195.0,0.0,10.77,81.03,0.0,5.64,2.56,47.47,0.348,12.15,195.8,Alluvial Loamy Soil,0.303,469.9,0.75,0.98,0.21047175982130567,469.9,3.194888178913738,5.64,10.77,Very High
519890,Meghakui,Vadodara Rural,22.138633,73.278804,446.0,0.0,8.16,90.21,0.0,0.0,0.93,41.34,0.344,13.5,212.0,Alluvial Loamy Soil,0.309,471.2,0.75,0.98,0.2334453638559054,471.2,3.134796238244514,0.0,8.16,Very High
519858,Talsat,Vadodara Rural,22.238004,73.1711,230.0,0.0,0.44,76.42,0.0,4.8,12.23,34.29,0.24,14.4,222.8,Alluvial Loamy Soil,0.316,481.0,0.75,0.98,0.2486898871648548,481.0,3.067484662576687,4.8,0.44,Very High
519835,Sisva,Vadodara Rural,22.397016,73.178636,418.0,0.0,4.07,73.98,0.0,1.63,7.32,54.95,0.261,12.6,201.2,Alluvial Loamy Soil,0.29,474.5,0.75,0.98,0.21814324139654254,474.5,3.3333333333333335,1.63,4.07,Very High
519884,Vadsala,Vadodara Rural,22.157934,73.174287,695.0,0.0,0.0,70.61,0.9,14.54,0.45,4.25,0.239,13.05,206.6,Alluvial Loamy Soil,0.306,473.1,0.75,0.98,0.2258012668691037,473.1,3.1645569620253164,14.54,0.9,Very High
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,254.0,0.0,0.8,88.35,4.02,4.82,0.8,2.27,0.304,13.95,217.4,Alluvial Loamy Soil,0.312,471.8,0.75,0.98,0.24107506083303862,471.8,3.1055900621118013,4.82,4.819999999999999,Very High
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,591.0,0.0,0.0,89.68,0.0,4.91,5.41,23.44,0.276,12.15,195.8,Alluvial Loamy Soil,0.302,480.3,0.75,0.98,0.21047175982130567,480.3,3.2051282051282053,4.91,0.0,Very High
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,0.0,0.0,2.8899999999999997,83.32,0.0,4.495,3.5549999999999997,69.87,0.0,12.15,195.8,Alluvial Loamy Soil,0.31,478.4,0.9,0.02,0.21047175982130567,478.4,3.125,4.495,2.8899999999999997,Low
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0.0,2.8899999999999997,83.32,0.0,4.495,3.5549999999999997,69.87,0.0,11.7,190.4,Alluvial Loamy Soil,0.31,479.0,0.9,0.02,0.20278729535651246,479.0,3.125,4.495,2.8899999999999997,Low
521151,Dhamanja,Karjan,21.998056,73.080688,581.0,0.0,4.48,89.85,0.0,5.16,0.52,76.63,0.318,11.7,190.4,Deep Black Cotton Soil,0.3,472.5,0.75,0.98,0.20278729535651246,472.5,3.2258064516129035,5.16,4.48,Very High
521152,Lakodara,Karjan,21.995859,73.111902,738.0,0.0,2.68,79.11,11.97,4.97,1.27,100.0,0.341,12.15,195.8,Deep Black Cotton Soil,0.307,475.1,0.75,0.98,0.21047175982130567,475.1,3.1545741324921135,4.97,14.65,Very High
521162,Osalam,Karjan,21.991137,73.145019,817.0,0.0,3.92,90.45,0.0,4.65,0.98,100.0,0.314,14.4,222.8,Deep Black Cotton Soil,0.323,482.9,0.75,0.98,0.2486898871648548,482.9,3.003003003003003,4.65,3.92,Very High
521112,Kotna,Padra,22.0948,72.981493,748.0,0.4,5.35,86.1,0.0,5.21,2.41,55.9,0.314,12.6,201.2,Alluvial Loamy Soil,0.306,477.7,0.75,0.98,0.21814324139654254,477.7,3.1645569620253164,5.61,5.35,Very High
521116,Kothwada,Padra,22.110103,73.07992,235.0,0.0,4.68,80.85,0.0,0.0,8.51,52.63,0.285,13.05,206.6,Alluvial Loamy Soil,0.305,480.3,0.75,0.98,0.2258012668691037,480.3,3.1746031746031744,0.0,4.68,Very High
521113,Shahera,Padra,22.100724,73.017333,310.0,0.32,4.84,81.94,0.0,7.1,5.81,39.37,0.3,12.15,195.8,Alluvial Loamy Soil,0.295,471.2,0.75,0.98,0.21047175982130567,471.2,3.278688524590164,7.42,4.84,Very High
521117,Vasnaref,Padra,22.08068,72.97523,434.0,0.0,3.23,85.94,0.0,5.07,5.76,71.85,0.294,11.7,190.4,Alluvial Loamy Soil,0.302,475.8,0.75,0.98,0.20278729535651246,475.8,3.2051282051282053,5.07,3.23,Very High
521119,Sokhdaraghu,Padra,22.064954,72.97663,351.0,0.0,0.57,87.78,0.0,5.11,3.98,16.5,0.276,13.5,212.0,Alluvial Loamy Soil,0.295,473.8,0.75,0.98,0.2334453638559054,473.8,3.278688524590164,5.11,0.57,Very High
519899,Kashipura,Vadodara Rural,22.116365,73.166323,469.0,0.0,0.84,84.63,12.63,1.47,0.42,55.97,0.339,12.6,201.2,Alluvial Loamy Soil,0.315,474.5,0.75,0.98,0.21814324139654254,474.5,3.0769230769230766,1.47,13.47,Very High
519898,Sarar,Vadodara Rural,22.104863,73.149804,1103.0,0.0,1.08,95.78,2.95,0.0,0.2,46.15,0.315,12.6,201.2,Alluvial Loamy Soil,0.313,478.4,0.75,0.98,0.21814324139654254,478.4,3.095975232198142,0.0,4.03,Very High
