village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,pct_non_agri_builtup,irrigation_coverage_pct,cover_management_index_C_proxy,slope_deg_EXTERNAL_TOFILL,slope_length_m_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,soil_erodibility_K_EXTERNAL_TOFILL,rainfall_erosivity_R_EXTERNAL_TOFILL,support_practice_P_EXTERNAL_TOFILL,erosion_risk_score_TARGET,distance_to_river_km_EXTERNAL_TOFILL
521212,Alampura,Karjan,21.852286,73.21197,195.0,0.0,7.69,89.23,0.0,1.03,2.05,100.0,0.338,13.5,212.0,Deep Black Cotton Soil,0.36,485.6,0.75,0.92,2.732
521189,Ranapur,Karjan,21.948871,73.255503,618.0,0.0,23.14,69.26,0.0,5.02,2.59,70.09,0.424,13.95,217.4,Deep Black Cotton Soil,0.369,479.0,0.9,0.92,0.501
521185,Latipur Timbi,Karjan,21.946091,73.184216,230.0,0.0,1.87,90.19,0.0,0.0,2.34,100.0,0.287,13.5,212.0,Deep Black Cotton Soil,0.363,481.0,0.75,0.92,0.992
521005,Surajghoda,Dabhoi,22.067393,73.538224,79.0,0.0,7.69,87.18,0.0,3.85,1.28,55.88,0.337,12.6,201.2,Deep Black Cotton Soil,0.368,477.7,0.75,0.92,0.943
521135,Kanabha,Karjan,22.0648,73.030688,451.0,0.0,1.01,77.37,17.78,2.63,1.21,75.72,0.352,12.15,195.8,Deep Black Cotton Soil,0.298,467.9,0.75,0.92,0.026
521141,Karamadi,Karjan,22.050547,73.08421,391.0,0.0,5.22,62.39,30.0,1.09,1.3,87.11,0.416,11.7,190.4,Deep Black Cotton Soil,0.311,473.8,0.9,0.92,1.438
521220,Vaniyad,Sinor,22.028989,73.401592,632.0,0.0,0.79,82.12,0.0,2.22,14.87,92.5,0.257,14.4,222.8,Deep Black Cotton Soil,0.4,477.7,0.75,0.92,2.85
521206,Lilod,Karjan,21.882002,73.226019,387.0,0.0,19.57,57.25,13.04,8.45,1.69,75.95,0.439,13.5,212.0,Deep Black Cotton Soil,0.37,476.4,0.9,0.92,0.338
521097,Bhadara,Padra,22.141,73.033592,385.0,0.0,4.42,85.71,0.0,8.57,1.3,21.21,0.31,11.7,190.4,Alluvial Loamy Soil,0.293,473.1,0.75,0.92,0.559
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,195.0,0.0,10.77,81.03,0.0,5.64,2.56,47.47,0.348,12.15,195.8,Alluvial Loamy Soil,0.303,469.9,0.75,0.92,0.034
