village_code,village_name,subdistrict,latitude,longitude,total_population,surface_water_exposure,road_connectivity_score,drainage_quality_score,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,rainfall_1hr_intensity_mm_EXTERNAL_TOFILL,rainfall_3hr_intensity_mm_EXTERNAL_TOFILL,rainfall_24hr_intensity_mm_EXTERNAL_TOFILL,antecedent_rainfall_7day_mm_EXTERNAL_TOFILL,distance_to_vishwamitri_river_km_EXTERNAL_TOFILL,historical_cloudburst_flag_EXTERNAL_TOFILL,cloudburst_exceedance_probability_TARGET
521212,Alampura,Karjan,21.852286,73.21197,639.0,1,1,1,100.0,13.5,0.001,93.6,160.2,246.4,313.6,2.732,1,0.95
521189,Ranapur,Karjan,21.948871,73.255503,1166.0,1,2,1,102.5,13.95,0.001,94.8,162.2,249.6,308.6,0.501,1,0.95
521185,Latipur Timbi,Karjan,21.946091,73.184216,908.0,1,2,0,100.0,13.5,0.001,93.9,160.7,247.2,310.1,0.992,1,0.95
521005,Surajghoda,Dabhoi,22.067393,73.538224,77.0,0,2,0,95.0,12.6,0.002,93.6,160.2,246.4,307.6,0.943,1,0.937
521135,Kanabha,Karjan,22.0648,73.030688,1574.0,1,2,0,92.5,12.15,0.0,93.3,159.6,245.6,300.0,0.026,1,0.911
521141,Karamadi,Karjan,22.050547,73.08421,1763.0,1,2,0,90.0,11.7,0.0,93.9,160.7,247.2,304.5,1.438,1,0.9
521220,Vaniyad,Sinor,22.028989,73.401592,851.0,1,2,2,105.0,14.4,0.0,93.0,159.1,244.8,307.6,2.85,1,0.95
521206,Lilod,Karjan,21.882002,73.226019,1223.0,1,2,1,100.0,13.5,0.0,95.2,162.8,250.4,306.5,0.338,1,0.95
521097,Bhadara,Padra,22.141,73.033592,730.0,1,2,1,95.0,11.7,0.001,93.3,159.6,245.6,304.0,0.559,1,0.912
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,619.0,1,1,0,87.5,12.15,0.001,93.6,160.2,246.4,301.5,0.034,1,0.899
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,0,2,2,100.0,13.5,0.05,93.0,159.1,244.8,302.5,3.025,1,0.95
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,0,2,2,105.0,14.4,0.001,93.6,160.2,246.4,310.1,0.73,1,0.95
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,1,2,0,95.0,12.6,0.0,93.3,159.6,245.6,305.0,0.16,1,0.934
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,1,1,1,97.5,13.05,0.001,93.9,160.7,247.2,304.0,1.727,1,0.95
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,1,2,1,102.5,13.95,0.001,93.3,159.6,245.6,303.0,2.424,1,0.95
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,1,2,2,92.5,12.15,0.001,93.6,160.2,246.4,309.6,0.672,1,0.921
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,0,0,0,92.5,12.15,0.001,93.9,160.7,247.2,308.1,0.027,1,0.921
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0,0,0,90.0,11.7,0.001,94.5,161.7,248.8,308.6,0.078,1,0.906
521151,Dhamanja,Karjan,21.998056,73.080688,890.0,1,2,0,90.0,11.7,0.001,93.9,160.7,247.2,303.5,0.347,1,0.899
521152,Lakodara,Karjan,21.995859,73.111902,1947.0,0,3,0,90.0,12.15,0.001,93.9,160.7,247.2,305.5,0.277,1,0.911
