village_code,village_name,subdistrict,latitude,longitude,pct_forest,pct_barren_uncultivable,pct_pastures,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,aspect_deg_EXTERNAL_TOFILL,geology_lithology_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,lineament_density_EXTERNAL_TOFILL,geomorphology_class_EXTERNAL_TOFILL,rainfall_annual_mm_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,historical_landslide_present_EXTERNAL_TOFILL,landslide_susceptibility_score_TARGET,slope_radians,landslide_exposure,slope_risk_class,total_population,total_households,sc_st_population_share_pct,population_density_per_ha,geo_area_ha,pct_net_sown,irrigation_coverage_pct,road_connectivity_score,drainage_quality_score,nearest_town_dist_km,slope_x_lineament,slope_x_rain,elevation_x_slope,drainage_x_slope,bare_slope_risk,forest_protection,rain_per_slope
521212,Alampura,Karjan,21.852286,73.21197,0.0,7.69,1.03,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1120.0,0.001,0,0.631,0.2356194490192344,631.0,Gentle,639.0,138.0,59.47,3.277,195.0,89.23,100.0,1,1,15.0,15.93,15120.0,1350.0,0.0135,103.81500000000001,0.0,82.3529411764706
521189,Ranapur,Karjan,21.948871,73.255503,0.0,23.14,5.02,102.5,13.95,161.2,Deccan Trap Basalt,Deep Black Cotton Soil,1.22,Alluvial Plain / Valley Fill,1102.0,0.001,0,0.639,0.2434734306532089,639.0,Gentle,1166.0,271.0,26.07,1.887,618.0,69.26,70.09,2,1,20.0,17.019,15372.9,1429.875,0.013949999999999999,322.803,0.0,78.43416370106762
521185,Latipur Timbi,Karjan,21.946091,73.184216,0.0,1.87,0.0,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1107.4,0.001,0,0.629,0.2356194490192344,629.0,Gentle,908.0,181.0,12.67,3.948,230.0,90.19,100.0,2,0,20.0,15.93,14949.900000000001,1350.0,0.0135,25.245,0.0,81.4264705882353
521005,Surajghoda,Dabhoi,22.067393,73.538224,0.0,7.69,3.85,95.0,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1098.4,0.002,0,0.607,0.2199114857512855,607.0,Gentle,77.0,15.0,23.38,0.975,79.0,87.18,55.88,2,0,16.0,13.986,13839.84,1197.0,0.0252,96.894,0.0,86.48818897637797
521135,Kanabha,Karjan,22.0648,73.030688,0.0,1.01,2.63,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1071.4,0.0,0,0.592,0.212057504117311,592.0,Gentle,1574.0,316.0,10.42,3.49,451.0,77.37,75.72,2,0,10.0,13.0005,13017.510000000002,1123.875,0.0,12.2715,0.0,87.46122448979592
521141,Karamadi,Karjan,22.050547,73.08421,0.0,5.22,1.09,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1087.6,0.0,0,0.585,0.2042035224833365,585.0,Gentle,1763.0,413.0,57.01,4.509,391.0,62.39,87.11,2,0,3.0,12.168,12724.919999999998,1053.0,0.0,61.07399999999999,0.0,92.16949152542372
521220,Vaniyad,Sinor,22.028989,73.401592,0.0,0.79,2.22,105.0,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1098.4,0.0,0,0.648,0.2513274122871834,648.0,Gentle,851.0,184.0,49.0,1.347,632.0,82.12,92.5,2,2,14.0,18.0,15816.960000000001,1512.0,0.0,11.376000000000001,0.0,75.75172413793103
521206,Lilod,Karjan,21.882002,73.226019,0.0,19.57,8.45,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1094.8,0.0,0,0.627,0.2356194490192344,627.0,Gentle,1223.0,268.0,28.37,3.16,387.0,57.25,75.95,2,1,18.0,15.93,14779.8,1350.0,0.0,264.195,0.0,80.5
521097,Bhadara,Padra,22.141,73.033592,0.0,4.42,8.57,95.0,11.7,135.2,Quaternary Alluvium,Alluvial Loamy Soil,1.04,Alluvial Plain / Valley Fill,1085.8,0.001,0,0.585,0.2042035224833365,585.0,Gentle,730.0,137.0,9.04,1.896,385.0,85.71,21.21,2,1,13.0,12.168,12703.859999999999,1111.5,0.0117,51.714,0.0,92.01694915254238
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,0.0,10.77,5.64,87.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1076.8,0.001,0,0.593,0.212057504117311,593.0,Gentle,619.0,133.0,9.37,3.174,195.0,81.03,47.47,1,0,22.0,13.0005,13083.119999999999,1063.125,0.012150000000000001,130.8555,0.0,87.90204081632653
