village_code,village_name,subdistrict,latitude,longitude,pct_forest,pct_barren_uncultivable,pct_pastures,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,aspect_deg_EXTERNAL_TOFILL,geology_lithology_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,lineament_density_EXTERNAL_TOFILL,geomorphology_class_EXTERNAL_TOFILL,rainfall_annual_mm_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,historical_landslide_present_EXTERNAL_TOFILL,landslide_susceptibility_score_TARGET
521212,Alampura,Karjan,21.852286,73.21197,0.0,7.69,1.03,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1120.0,0.001,0,0.631
521189,Ranapur,Karjan,21.948871,73.255503,0.0,23.14,5.02,102.5,13.95,161.2,Deccan Trap Basalt,Deep Black Cotton Soil,1.22,Alluvial Plain / Valley Fill,1102.0,0.001,0,0.639
521185,Latipur Timbi,Karjan,21.946091,73.184216,0.0,1.87,0.0,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1107.4,0.001,0,0.629
521005,Surajghoda,Dabhoi,22.067393,73.538224,0.0,7.69,3.85,95.0,12.6,145.6,Deccan Trap Basalt,Deep Black Cotton Soil,1.11,Alluvial Plain / Valley Fill,1098.4,0.002,0,0.607
521135,Kanabha,Karjan,22.0648,73.030688,0.0,1.01,2.63,92.5,12.15,140.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.07,Alluvial Plain / Valley Fill,1071.4,0.0,0,0.592
521141,Karamadi,Karjan,22.050547,73.08421,0.0,5.22,1.09,90.0,11.7,135.2,Quaternary Alluvium,Deep Black Cotton Soil,1.04,Alluvial Plain / Valley Fill,1087.6,0.0,0,0.585
521220,Vaniyad,Sinor,22.028989,73.401592,0.0,0.79,2.22,105.0,14.4,166.4,Deccan Trap Basalt,Deep Black Cotton Soil,1.25,Alluvial Plain / Valley Fill,1098.4,0.0,0,0.648
521206,Lilod,Karjan,21.882002,73.226019,0.0,19.57,8.45,100.0,13.5,156.0,Deccan Trap Basalt,Deep Black Cotton Soil,1.18,Alluvial Plain / Valley Fill,1094.8,0.0,0,0.627
521097,Bhadara,Padra,22.141,73.033592,0.0,4.42,8.57,95.0,11.7,135.2,Quaternary Alluvium,Alluvial Loamy Soil,1.04,Alluvial Plain / Valley Fill,1085.8,0.001,0,0.585
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,0.0,10.77,5.64,87.5,12.15,140.4,Deccan Trap Basalt,Alluvial Loamy Soil,1.07,Alluvial Plain / Valley Fill,1076.8,0.001,0,0.593
