village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,population_density_per_ha,drainage_quality_score,road_connectivity_score,healthcare_access_score,surface_water_exposure,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,exposure_score_TARGET,vulnerability_score_TARGET,composite_risk_score_TARGET,priority_category_TARGET,hazard_diversity,max_hazard,exposure_score_calc,risk_category,red_zone_priority
521212,Alampura,Karjan,21.852286,73.21197,639.0,138.0,59.47,3.277,1,1,0,1,0.364,0.98,0.95,0.631,0.705,0.688,0.67,High (Relocation Priority),0.2913478733976504,0.98,20.94003,High,428.13000000000005
521189,Ranapur,Karjan,21.948871,73.255503,1166.0,271.0,26.07,1.887,1,2,0,1,0.516,0.98,0.95,0.639,0.618,0.404,0.602,Medium (Mitigation),0.2296161652265217,0.98,22.00242,Moderate,701.932
521185,Latipur Timbi,Karjan,21.946091,73.184216,908.0,181.0,12.67,3.948,0,2,0,1,0.49,0.98,0.95,0.629,0.747,0.351,0.605,Medium (Mitigation),0.24120582497112292,0.98,35.84784,Moderate,549.34
521005,Surajghoda,Dabhoi,22.067393,73.538224,77.0,15.0,23.38,0.975,0,2,0,0,0.479,0.98,0.937,0.607,0.061,0.394,0.475,Medium (Mitigation),0.24614138890754098,0.98,0.75075,Moderate,36.574999999999996
521135,Kanabha,Karjan,22.0648,73.030688,1574.0,316.0,10.42,3.49,0,2,0,1,0.553,0.98,0.911,0.592,0.718,0.342,0.604,Medium (Mitigation),0.2177689907524332,0.98,54.9326,Moderate,950.696
521141,Karamadi,Karjan,22.050547,73.08421,1763.0,413.0,57.01,4.509,0,2,0,1,0.466,0.98,0.9,0.585,0.782,0.528,0.652,High (Relocation Priority),0.2463674423836613,0.98,79.49367000000001,High,1149.476
521220,Vaniyad,Sinor,22.028989,73.401592,851.0,184.0,49.0,1.347,2,2,0,1,0.346,0.98,0.95,0.648,0.584,0.496,0.585,Medium (Mitigation),0.29725185729725334,0.98,11.46297,Moderate,497.835
521206,Lilod,Karjan,21.882002,73.226019,1223.0,268.0,28.37,3.16,1,2,0,1,0.532,0.98,0.95,0.627,0.698,0.413,0.623,Medium (Mitigation),0.22625409756878803,0.98,38.646800000000006,Moderate,761.929
521097,Bhadara,Padra,22.141,73.033592,730.0,137.0,9.04,1.896,1,2,0,1,0.51,0.98,0.912,0.585,0.618,0.336,0.572,Medium (Mitigation),0.23375681808238236,0.98,13.8408,Moderate,417.55999999999995
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,619.0,133.0,9.37,3.174,0,1,0,1,0.569,0.98,0.899,0.593,0.698,0.487,0.646,Medium (Mitigation),0.20983386285344893,0.98,19.64706,Moderate,399.874
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,266.0,26.9,2.709,2,2,0,0,0.34,0.98,0.95,0.625,0.169,0.408,0.473,Medium (Mitigation),0.30214166103557005,0.98,32.724720000000005,Moderate,571.384
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,249.0,7.74,4.887,2,2,1,0,0.512,0.98,0.95,0.649,0.305,0.181,0.472,Medium (Mitigation),0.2292558614299752,0.98,54.92988,Moderate,530.528
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,533.0,12.04,6.696,0,2,1,1,0.559,0.98,0.934,0.606,0.918,0.198,0.606,Medium (Mitigation),0.2178782152181963,0.98,187.42104,Moderate,1696.194
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,758.0,36.72,4.541,1,1,0,1,0.441,0.98,0.95,0.615,0.784,0.597,0.674,High (Relocation Priority),0.2623972814899829,0.98,143.31396,High,2127.1440000000002
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,47.0,17.94,0.878,1,2,0,1,0.375,0.98,0.95,0.636,0.555,0.372,0.548,Medium (Mitigation),0.2861530767497238,0.98,1.95794,Moderate,122.20400000000001
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,380.0,25.36,2.956,2,2,0,1,0.507,0.98,0.921,0.597,0.685,0.401,0.606,Medium (Mitigation),0.23423118921270925,0.98,51.64131999999999,Moderate,1058.682
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,123.0,28.63,2.3600000000000003,0,0,0,0,0.548,0.02,0.921,0.596,0.148,0.7,0.502,Medium (Mitigation),0.3729855895339657,0.921,7.339600000000002,Moderate,156.122
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0.0,28.63,2.3600000000000003,0,0,0,0,0.55,0.02,0.906,0.587,0.148,0.7,0.5,Medium (Mitigation),0.3671115861242555,0.906,0.0,Moderate,0.0
521151,Dhamanja,Karjan,21.998056,73.080688,890.0,175.0,57.3,1.532,0,2,0,1,0.529,0.98,0.899,0.584,0.596,0.529,0.629,Medium (Mitigation),0.22470870032110463,0.98,13.6348,Moderate,559.8100000000001
521152,Lakodara,Karjan,21.995859,73.111902,1947.0,389.0,23.88,2.638,0,3,0,0,0.538,0.98,0.911,0.595,0.165,0.246,0.462,Medium (Mitigation),0.22184529143827536,0.98,51.36186,Moderate,899.514
521162,Osalam,Karjan,21.991137,73.145019,1678.0,335.0,46.42,2.054,1,2,0,1,0.393,0.98,0.95,0.65,0.628,0.486,0.602,Medium (Mitigation),0.2769878156164996,0.98,34.46612,Moderate,1010.156
521112,Kotna,Padra,22.0948,72.981493,1214.0,257.0,30.56,1.623,1,2,0,1,0.498,0.98,0.936,0.606,0.601,0.422,0.596,Medium (Mitigation),0.23919030080670078,0.98,19.703219999999998,Moderate,723.544
521116,Kothwada,Padra,22.110103,73.07992,780.0,159.0,16.92,3.319,1,2,0,1,0.539,0.98,0.95,0.618,0.707,0.368,0.612,Medium (Mitigation),0.22579692203393736,0.98,25.8882,Moderate,477.36
521113,Shahera,Padra,22.100724,73.017333,869.0,187.0,19.79,2.803,1,1,0,1,0.512,0.98,0.915,0.593,0.675,0.529,0.643,Medium (Mitigation),0.2319612036526798,0.98,24.358069999999998,Moderate,558.767
521117,Vasnaref,Padra,22.08068,72.97523,407.0,88.0,15.97,0.938,1,2,0,1,0.506,0.98,0.899,0.586,0.559,0.364,0.567,Medium (Mitigation),0.23189275538489768,0.98,3.8176599999999996,Moderate,230.76899999999998
521119,Sokhdaraghu,Padra,22.064954,72.97663,2015.0,397.0,18.46,5.741,1,2,0,1,0.527,0.98,0.95,0.626,0.859,0.374,0.643,Medium (Mitigation),0.22824164825903268,0.98,115.68115,Moderate,1295.645
519899,Kashipura,Vadodara Rural,22.116365,73.166323,1117.0,241.0,50.49,2.382,2,2,1,1,0.402,0.98,0.935,0.606,0.649,0.352,0.563,Medium (Mitigation),0.27536808699145465,0.98,26.606939999999998,Moderate,628.871
519898,Sarar,Vadodara Rural,22.104863,73.149804,2480.0,518.0,28.59,2.248,2,2,0,1,0.482,0.98,0.938,0.607,0.641,0.414,0.598,Medium (Mitigation),0.24529217272469173,0.98,55.750400000000006,Moderate,1483.04
251215,Karjan,Karjan,22.053736,73.127378,30405.0,6473.0,28.63,2.3600000000000003,0,0,0,0,0.651,0.02,0.388,0.286,0.148,0.7,0.448,Medium (Mitigation),0.26095002714440685,0.651,717.558,Moderate,13621.44
520999,Mandala,Dabhoi,22.082633,73.328643,3427.0,794.0,53.02,1.824,2,3,1,1,0.522,0.98,0.895,0.574,0.614,0.212,0.534,Medium (Mitigation),0.2285277153140657,0.98,62.50848,Moderate,1830.018
520998,Parikha,Dabhoi,22.082741,73.291885,1131.0,253.0,48.28,1.698,2,2,0,1,0.424,0.044,0.391,0.286,0.606,0.493,0.429,Medium (Mitigation),0.1718844088333785,0.424,19.20438,Moderate,485.199
520973,Nada,Dabhoi,22.131256,73.375066,1826.0,462.0,52.52,1.749,0,3,1,1,0.293,0.98,0.901,0.573,0.609,0.21,0.482,Medium (Mitigation),0.31616280089008997,0.98,31.93674,Moderate,880.132
