village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score,geo_area_ha,population_density_per_ha,male_population,female_population,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,irrigation_coverage_pct,road_connectivity_score,healthcare_access_score,drainage_quality_score,nearest_town_dist_km,district_hq_dist_km,tapwater_treated,tubewell_borehole,river_canal_present,surface_water_exposure,elevation_m_EXTERNAL_TOFILL,distance_to_river_km_EXTERNAL_TOFILL,rainfall_24hr_max_mm_EXTERNAL_TOFILL,flood_hazard_score_TARGET,runoff_coefficient_EXTERNAL_TOFILL,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,relocation_urgency_index,vulnerability_ratio,hazard_x_density,distance_x_risk,water_risk
521212,Alampura,Karjan,21.852286,73.21197,639.0,138.0,59.47,0.67,High (Relocation Priority),428.13000000000005,195.0,3.277,347.0,292.0,0.0,7.69,89.23,0.0,1.03,100.0,1,0,1,15.0,52.0,0.0,1.0,1.0,1,100.0,2.732,246.4,0.364,0.55,0.364,0.98,0.95,0.631,428.13000000000005,54.063636363636355,2.19559,10.05,0.364
521189,Ranapur,Karjan,21.948871,73.255503,1166.0,271.0,26.07,0.602,Medium (Mitigation),701.932,618.0,1.887,597.0,569.0,0.0,23.14,69.26,0.0,5.02,70.09,2,0,1,20.0,50.0,0.0,1.0,1.0,1,102.5,0.501,249.6,0.516,0.51,0.516,0.98,0.95,0.639,701.932,12.414285714285715,1.135974,12.04,0.516
521185,Latipur Timbi,Karjan,21.946091,73.184216,908.0,181.0,12.67,0.605,Medium (Mitigation),549.34,230.0,3.948,453.0,455.0,0.0,1.87,90.19,0.0,0.0,100.0,2,0,0,20.0,41.0,0.0,1.0,0.0,1,100.0,0.992,247.2,0.49,0.57,0.49,0.98,0.95,0.629,549.34,6.033333333333333,2.38854,12.1,0.49
521005,Surajghoda,Dabhoi,22.067393,73.538224,77.0,15.0,23.38,0.475,Medium (Mitigation),36.575,79.0,0.975,45.0,32.0,0.0,7.69,87.18,0.0,3.85,55.88,2,0,0,16.0,48.0,0.0,1.0,0.0,0,95.0,0.943,246.4,0.479,0.48,0.479,0.98,0.937,0.607,36.574999999999996,11.133333333333333,0.46312499999999995,7.6,0.0
521135,Kanabha,Karjan,22.0648,73.030688,1574.0,316.0,10.42,0.604,Medium (Mitigation),950.696,451.0,3.49,803.0,771.0,0.0,1.01,77.37,17.78,2.63,75.72,2,0,0,10.0,45.0,0.0,1.0,1.0,1,92.5,0.026,245.6,0.553,0.55,0.553,0.98,0.911,0.592,950.696,4.961904761904762,2.1079600000000003,6.04,0.553
521141,Karamadi,Karjan,22.050547,73.08421,1763.0,413.0,57.01,0.652,High (Relocation Priority),1149.476,391.0,4.509,920.0,843.0,0.0,5.22,62.39,30.0,1.09,87.11,2,0,0,3.0,40.0,0.0,1.0,1.0,1,90.0,1.438,247.2,0.466,0.59,0.466,0.98,0.9,0.585,1149.476,27.147619047619045,2.939868,1.956,0.466
521220,Vaniyad,Sinor,22.028989,73.401592,851.0,184.0,49.0,0.585,Medium (Mitigation),497.835,632.0,1.347,447.0,404.0,0.0,0.79,82.12,0.0,2.22,92.5,2,0,2,14.0,48.0,0.0,1.0,0.0,1,105.0,2.85,244.8,0.346,0.49,0.346,0.98,0.95,0.648,497.835,23.333333333333332,0.7879949999999999,8.19,0.346
521206,Lilod,Karjan,21.882002,73.226019,1223.0,268.0,28.37,0.623,Medium (Mitigation),761.929,387.0,3.16,610.0,613.0,0.0,19.57,57.25,13.04,8.45,75.95,2,0,1,18.0,54.0,0.0,1.0,1.0,1,100.0,0.338,250.4,0.532,0.54,0.532,0.98,0.95,0.627,761.929,13.50952380952381,1.96868,11.214,0.532
521097,Bhadara,Padra,22.141,73.033592,730.0,137.0,9.04,0.572,Medium (Mitigation),417.56,385.0,1.896,365.0,365.0,0.0,4.42,85.71,0.0,8.57,21.21,2,0,1,13.0,40.0,0.0,1.0,0.0,1,95.0,0.559,245.6,0.51,0.51,0.51,0.98,0.912,0.585,417.55999999999995,4.304761904761905,1.084512,7.435999999999999,0.51
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,619.0,133.0,9.37,0.646,Medium (Mitigation),399.874,195.0,3.174,331.0,288.0,0.0,10.77,81.03,0.0,5.64,47.47,1,0,0,22.0,22.0,0.0,1.0,1.0,1,87.5,0.034,246.4,0.569,0.55,0.569,0.98,0.899,0.593,399.874,8.518181818181818,2.050404,14.212,0.569
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,266.0,26.9,0.473,Medium (Mitigation),571.384,446.0,2.709,617.0,591.0,0.0,8.16,90.21,0.0,0.0,41.34,2,0,2,21.0,21.0,0.0,1.0,0.0,0,100.0,3.025,244.8,0.34,0.53,0.34,0.98,0.95,0.625,571.384,12.809523809523808,1.281357,9.933,0.0
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,249.0,7.74,0.472,Medium (Mitigation),530.528,230.0,4.887,572.0,552.0,0.0,0.44,76.42,0.0,4.8,34.29,2,1,2,12.0,12.0,0.0,1.0,0.0,0,105.0,0.73,246.4,0.512,0.6,0.512,0.98,0.95,0.649,530.528,3.6857142857142855,2.3066639999999996,5.664,0.0
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,533.0,12.04,0.606,Medium (Mitigation),1696.194,418.0,6.696,1448.0,1351.0,0.0,4.07,73.98,0.0,1.63,54.95,2,1,0,15.0,15.0,0.0,1.0,0.0,1,95.0,0.16,245.6,0.559,0.65,0.559,0.98,0.934,0.606,1696.194,5.7333333333333325,4.057776,9.09,0.559
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,758.0,36.72,0.674,High (Relocation Priority),2127.144,695.0,4.541,1622.0,1534.0,0.0,0.0,70.61,0.9,14.54,4.25,1,0,1,18.0,18.0,0.0,1.0,0.0,1,97.5,1.727,247.2,0.441,0.59,0.441,0.98,0.95,0.615,2127.1440000000002,33.381818181818176,3.0606340000000003,12.132000000000001,0.441
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,47.0,17.94,0.548,Medium (Mitigation),122.204,254.0,0.878,117.0,106.0,0.0,0.8,88.35,4.02,4.82,2.27,2,0,1,15.0,15.0,0.0,1.0,0.0,1,102.5,2.424,245.6,0.375,0.48,0.375,0.98,0.95,0.636,122.20400000000001,8.542857142857143,0.481144,8.22,0.375
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,380.0,25.36,0.606,Medium (Mitigation),1058.682,591.0,2.956,881.0,866.0,0.0,0.0,89.68,0.0,4.91,23.44,2,0,2,10.0,10.0,0.0,1.0,0.0,1,92.5,0.672,246.4,0.507,0.54,0.507,0.98,0.921,0.597,1058.682,12.076190476190476,1.7913359999999998,6.06,0.507
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,123.0,28.63,0.502,Medium (Mitigation),156.122,0.0,,0.0,0.0,,,,,,,0,0,0,0.0,,,,,0,92.5,0.027,247.2,0.548,0.51,0.548,0.02,0.921,0.596,156.122,286.29999999999995,1.004,0.0,0.0
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0.0,28.63,0.5,Medium (Mitigation),0.0,0.0,,0.0,0.0,,,,,,,0,0,0,0.0,,,,,0,90.0,0.078,248.8,0.55,0.51,0.55,0.02,0.906,0.587,0.0,286.29999999999995,1.0,0.0,0.0
521151,Dhamanja,Karjan,21.998056,73.080688,890.0,175.0,57.3,0.629,Medium (Mitigation),559.8100000000001,581.0,1.532,449.0,441.0,0.0,4.48,89.85,0.0,5.16,76.63,2,0,0,8.0,46.0,0.0,1.0,0.0,1,90.0,0.347,247.2,0.529,0.5,0.529,0.98,0.899,0.584,559.8100000000001,27.285714285714285,0.963628,5.032,0.529
521152,Lakodara,Karjan,21.995859,73.111902,1947.0,389.0,23.88,0.462,Medium (Mitigation),899.514,738.0,2.638,1006.0,941.0,0.0,2.68,79.11,11.97,4.97,100.0,3,0,0,7.0,37.0,0.0,1.0,0.0,0,90.0,0.277,247.2,0.538,0.53,0.538,0.98,0.911,0.595,899.514,7.703225806451612,1.218756,3.234,0.0
521162,Osalam,Karjan,21.991137,73.145019,1678.0,335.0,46.42,0.602,Medium (Mitigation),1010.156,817.0,2.054,873.0,805.0,0.0,3.92,90.45,0.0,4.65,100.0,2,0,1,12.0,45.0,0.0,1.0,0.0,1,102.5,2.241,247.2,0.393,0.51,0.393,0.98,0.95,0.65,1010.156,22.104761904761904,1.236508,7.224,0.393
521112,Kotna,Padra,22.0948,72.981493,1214.0,257.0,30.56,0.596,Medium (Mitigation),723.544,748.0,1.623,638.0,576.0,0.4,5.35,86.1,0.0,5.21,55.9,2,0,1,15.0,40.0,0.0,1.0,1.0,1,95.0,0.706,245.6,0.498,0.5,0.498,0.98,0.936,0.606,723.544,14.55238095238095,0.967308,8.94,0.498
521116,Kothwada,Padra,22.110103,73.07992,780.0,159.0,16.92,0.612,Medium (Mitigation),477.36,235.0,3.319,388.0,392.0,0.0,4.68,80.85,0.0,0.0,52.63,2,0,1,10.0,28.0,0.0,0.0,1.0,1,100.0,0.238,245.6,0.539,0.55,0.539,0.98,0.95,0.618,477.36,8.057142857142857,2.031228,6.12,0.539
521113,Shahera,Padra,22.100724,73.017333,869.0,187.0,19.79,0.643,Medium (Mitigation),558.767,310.0,2.803,448.0,421.0,0.32,4.84,81.94,0.0,7.1,39.37,1,0,1,17.0,37.0,0.0,1.0,1.0,1,92.5,0.576,246.4,0.512,0.53,0.512,0.98,0.915,0.593,558.767,17.99090909090909,1.802329,10.931000000000001,0.512
