village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score
521212,Alampura,Karjan,21.852286,73.21197,639.0,138.0,59.47,0.67,High (Relocation Priority),428.13000000000005
521189,Ranapur,Karjan,21.948871,73.255503,1166.0,271.0,26.07,0.602,Medium (Mitigation),701.932
521185,Latipur Timbi,Karjan,21.946091,73.184216,908.0,181.0,12.67,0.605,Medium (Mitigation),549.34
521005,Surajghoda,Dabhoi,22.067393,73.538224,77.0,15.0,23.38,0.475,Medium (Mitigation),36.574999999999996
521135,Kanabha,Karjan,22.0648,73.030688,1574.0,316.0,10.42,0.604,Medium (Mitigation),950.696
521141,Karamadi,Karjan,22.050547,73.08421,1763.0,413.0,57.01,0.652,High (Relocation Priority),1149.476
521220,Vaniyad,Sinor,22.028989,73.401592,851.0,184.0,49.0,0.585,Medium (Mitigation),497.835
521206,Lilod,Karjan,21.882002,73.226019,1223.0,268.0,28.37,0.623,Medium (Mitigation),761.929
521097,Bhadara,Padra,22.141,73.033592,730.0,137.0,9.04,0.572,Medium (Mitigation),417.55999999999995
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,619.0,133.0,9.37,0.646,Medium (Mitigation),399.874
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,266.0,26.9,0.473,Medium (Mitigation),571.384
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,249.0,7.74,0.472,Medium (Mitigation),530.528
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,533.0,12.04,0.606,Medium (Mitigation),1696.194
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,758.0,36.72,0.674,High (Relocation Priority),2127.1440000000002
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,47.0,17.94,0.548,Medium (Mitigation),122.20400000000001
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,380.0,25.36,0.606,Medium (Mitigation),1058.682
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,123.0,28.63,0.502,Medium (Mitigation),156.122
