village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5
521212,Alampura,Karjan,21.852286,73.21197,639.0,138.0,59.47,0.67,High (Relocation Priority)
521189,Ranapur,Karjan,21.948871,73.255503,1166.0,271.0,26.07,0.602,Medium (Mitigation)
521185,Latipur Timbi,Karjan,21.946091,73.184216,908.0,181.0,12.67,0.605,Medium (Mitigation)
521005,Surajghoda,Dabhoi,22.067393,73.538224,77.0,15.0,23.38,0.475,Medium (Mitigation)
521135,Kanabha,Karjan,22.0648,73.030688,1574.0,316.0,10.42,0.604,Medium (Mitigation)
521141,Karamadi,Karjan,22.050547,73.08421,1763.0,413.0,57.01,0.652,High (Relocation Priority)
521220,Vaniyad,Sinor,22.028989,73.401592,851.0,184.0,49.0,0.585,Medium (Mitigation)
521206,Lilod,Karjan,21.882002,73.226019,1223.0,268.0,28.37,0.623,Medium (Mitigation)
521097,Bhadara,Padra,22.141,73.033592,730.0,137.0,9.04,0.572,Medium (Mitigation)
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,619.0,133.0,9.37,0.646,Medium (Mitigation)
519890,Meghakui,Vadodara Rural,22.138633,73.278804,1208.0,266.0,26.9,0.473,Medium (Mitigation)
519858,Talsat,Vadodara Rural,22.238004,73.1711,1124.0,249.0,7.74,0.472,Medium (Mitigation)
519835,Sisva,Vadodara Rural,22.397016,73.178636,2799.0,533.0,12.04,0.606,Medium (Mitigation)
519884,Vadsala,Vadodara Rural,22.157934,73.174287,3156.0,758.0,36.72,0.674,High (Relocation Priority)
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,223.0,47.0,17.94,0.548,Medium (Mitigation)
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,1747.0,380.0,25.36,0.606,Medium (Mitigation)
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,311.0,123.0,,0.502,Medium (Mitigation)
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,0.0,,0.5,Medium (Mitigation)
521151,Dhamanja,Karjan,21.998056,73.080688,890.0,175.0,57.3,0.629,Medium (Mitigation)
521152,Lakodara,Karjan,21.995859,73.111902,1947.0,389.0,23.88,0.462,Medium (Mitigation)
521162,Osalam,Karjan,21.991137,73.145019,1678.0,335.0,46.42,0.602,Medium (Mitigation)
521112,Kotna,Padra,22.0948,72.981493,1214.0,257.0,30.56,0.596,Medium (Mitigation)
521116,Kothwada,Padra,22.110103,73.07992,780.0,159.0,16.92,0.612,Medium (Mitigation)
521113,Shahera,Padra,22.100724,73.017333,869.0,187.0,19.79,0.643,Medium (Mitigation)
521117,Vasnaref,Padra,22.08068,72.97523,407.0,88.0,15.97,0.567,Medium (Mitigation)
521119,Sokhdaraghu,Padra,22.064954,72.97663,2015.0,397.0,18.46,0.643,Medium (Mitigation)
519899,Kashipura,Vadodara Rural,22.116365,73.166323,1117.0,241.0,50.49,0.563,Medium (Mitigation)
519898,Sarar,Vadodara Rural,22.104863,73.149804,2480.0,518.0,28.59,0.598,Medium (Mitigation)
251215,Karjan,Karjan,22.053736,73.127378,30405.0,6473.0,,0.448,Medium (Mitigation)
520999,Mandala,Dabhoi,22.082633,73.328643,3427.0,794.0,53.02,0.534,Medium (Mitigation)
520998,Parikha,Dabhoi,22.082741,73.291885,1131.0,253.0,48.28,0.429,Medium (Mitigation)
520973,Nada,Dabhoi,22.131256,73.375066,1826.0,462.0,52.52,0.482,Medium (Mitigation)
520979,Sejpura,Dabhoi,22.122262,73.298782,421.0,97.0,83.37,0.561,Medium (Mitigation)
520982,Tharvasa,Dabhoi,22.112532,73.392616,731.0,151.0,38.99,0.542,Medium (Mitigation)
520981,Baripura,Dabhoi,22.112979,73.33336,720.0,168.0,30.83,0.599,Medium (Mitigation)
520980,Vakhatpura,Dabhoi,22.115875,73.315005,180.0,47.0,38.89,0.642,Medium (Mitigation)
520991,Habipura,Dabhoi,22.106409,73.353946,1688.0,373.0,34.95,0.558,Medium (Mitigation)
520978,Chhatral,Dabhoi,22.109304,73.290473,1170.0,260.0,38.21,0.573,Medium (Mitigation)
520977,Khanpur,Dabhoi,22.11699,73.276368,918.0,192.0,35.19,0.598,Medium (Mitigation)
520994,Menpura,Dabhoi,22.106381,73.232355,1048.0,241.0,57.25,0.522,Medium (Mitigation)
520993,Kunvarpura,Dabhoi,22.102555,73.268697,482.0,109.0,16.8,0.66,High (Relocation Priority)
521128,Bamangam,Karjan,22.103873,73.192831,1884.0,418.0,21.76,0.508,Medium (Mitigation)
519905,Samsabad,Vadodara Rural,22.120986,73.265597,801.0,180.0,39.08,0.574,Medium (Mitigation)
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,394.0,94.0,52.79,0.62,Medium (Mitigation)
521020,Manpur,Dabhoi,22.05,73.448552,371.0,92.0,30.19,0.507,Medium (Mitigation)
521023,Akoti,Dabhoi,22.041523,73.490974,1091.0,225.0,34.1,0.545,Medium (Mitigation)
521001,Sitpur,Dabhoi,22.08057,73.471272,1813.0,415.0,47.05,0.524,Medium (Mitigation)
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,981.0,201.0,25.69,0.604,Medium (Mitigation)
521003,Dharmapura,Dabhoi,22.085604,73.534557,338.0,79.0,18.93,0.444,Medium (Mitigation)
521012,Vadaj,Dabhoi,22.075049,73.438367,2266.0,493.0,64.34,0.477,Medium (Mitigation)
521002,Bhilodiya,Dabhoi,22.079777,73.507412,1251.0,321.0,28.54,0.396,Low (Monitoring)
521000,Kanayada,Dabhoi,22.076657,73.405223,1421.0,266.0,31.53,0.511,Medium (Mitigation)
521010,Chanwada,Dabhoi,22.064168,73.468113,1686.0,361.0,30.66,0.524,Medium (Mitigation)
