village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_non_agri_builtup,pct_barren_uncultivable,total_population,population_density_per_ha,road_connectivity_score,healthcare_access_score,drainage_quality_score,tapwater_treated,tubewell_borehole,nearest_town_dist_km,district_hq_dist_km,flood_hazard_score_FROM_MODEL1,landslide_susceptibility_score_FROM_MODEL4,buildable_area_ha_EXTERNAL_TOFILL,water_supply_capacity_lpd_EXTERNAL_TOFILL,protected_forest_wetland_overlap_EXTERNAL_TOFILL,land_ownership_status_EXTERNAL_TOFILL,land_acquisition_feasibility_EXTERNAL_TOFILL,employment_market_access_EXTERNAL_TOFILL,site_suitability_score_TARGET,estimated_carrying_capacity_TARGET,accessibility_score,final_suitability
521212,Alampura,Karjan,21.852286,73.21197,195.0,2.05,7.69,639.0,3.277,1,0,1,0.0,1.0,15.0,52.0,0.364,0.631,68.2,54315.0,0,Private / Mixed,Medium,Moderate,0.519,3069,0.06622516556291391,0.353958
521189,Ranapur,Karjan,21.948871,73.255503,618.0,2.59,23.14,1166.0,1.887,2,0,1,0.0,1.0,20.0,50.0,0.516,0.639,216.3,99110.0,0,Government Revenue Land,High,Moderate,0.724,9733,0.04975124378109452,1.566012
521185,Latipur Timbi,Karjan,21.946091,73.184216,230.0,2.34,1.87,908.0,3.948,2,0,0,0.0,1.0,20.0,41.0,0.49,0.629,80.5,77180.0,0,Private / Mixed,Medium,Moderate,0.641,3622,0.04975124378109452,0.516005
521005,Surajghoda,Dabhoi,22.067393,73.538224,79.0,1.28,7.69,77.0,0.975,2,0,0,0.0,1.0,16.0,48.0,0.479,0.607,27.6,6545.0,0,Private / Mixed,Medium,Moderate,0.578,1242,0.06211180124223602,0.159528
521135,Kanabha,Karjan,22.0648,73.030688,451.0,1.21,1.01,1574.0,3.49,2,0,0,0.0,1.0,10.0,45.0,0.553,0.592,157.8,133790.0,0,Private / Mixed,Medium,High,0.718,7101,0.09900990099009901,1.1330040000000001
521141,Karamadi,Karjan,22.050547,73.08421,391.0,1.3,5.22,1763.0,4.509,2,0,0,0.0,1.0,3.0,40.0,0.466,0.585,136.8,149855.0,0,Private / Mixed,Medium,High,0.732,6156,0.3225806451612903,1.001376
521220,Vaniyad,Sinor,22.028989,73.401592,632.0,14.87,0.79,851.0,1.347,2,0,2,0.0,1.0,14.0,48.0,0.346,0.648,221.2,72335.0,0,Private / Mixed,Medium,High,0.782,9954,0.07092198581560284,1.729784
521206,Lilod,Karjan,21.882002,73.226019,387.0,1.69,19.57,1223.0,3.16,2,0,1,0.0,1.0,18.0,54.0,0.532,0.627,135.4,103955.0,0,Government Revenue Land,High,Moderate,0.7,6093,0.055248618784530384,0.9478
521097,Bhadara,Padra,22.141,73.033592,385.0,1.3,4.42,730.0,1.896,2,0,1,0.0,1.0,13.0,40.0,0.51,0.585,134.8,62050.0,0,Private / Mixed,Medium,High,0.713,6066,0.07633587786259542,0.9611240000000001
519880,Rabhipura,Vadodara Rural,22.168777,73.231734,195.0,2.56,10.77,619.0,3.174,1,0,0,0.0,1.0,22.0,22.0,0.569,0.593,68.2,52615.0,0,Private / Mixed,Medium,Moderate,0.453,3069,0.04524886877828054,0.308946
519890,Meghakui,Vadodara Rural,22.138633,73.278804,446.0,0.93,8.16,1208.0,2.709,2,0,2,0.0,1.0,21.0,21.0,0.34,0.625,156.1,102680.0,0,Private / Mixed,Medium,Moderate,0.787,7024,0.04739336492890995,1.228507
519858,Talsat,Vadodara Rural,22.238004,73.1711,230.0,12.23,0.44,1124.0,4.887,2,1,2,0.0,1.0,12.0,12.0,0.512,0.649,80.5,95540.0,0,Private / Mixed,Medium,High,0.631,3622,0.08264462809917356,0.5079549999999999
519835,Sisva,Vadodara Rural,22.397016,73.178636,418.0,7.32,4.07,2799.0,6.696,2,1,0,0.0,1.0,15.0,15.0,0.559,0.606,146.3,237915.0,0,Private / Mixed,Medium,Moderate,0.709,6583,0.06622516556291391,1.0372670000000002
519884,Vadsala,Vadodara Rural,22.157934,73.174287,695.0,0.45,0.0,3156.0,4.541,1,0,1,0.0,1.0,18.0,18.0,0.441,0.615,243.2,268260.0,0,Private / Mixed,Medium,Moderate,0.603,10944,0.055248618784530384,1.466496
519876,Hansajipura,Vadodara Rural,22.205196,73.260987,254.0,0.8,0.8,223.0,0.878,2,0,1,0.0,1.0,15.0,15.0,0.375,0.636,88.9,18955.0,0,Private / Mixed,Medium,Moderate,0.692,4000,0.06622516556291391,0.615188
519861,Chikhodara,Vadodara Rural,22.233156,73.236326,591.0,5.41,0.0,1747.0,2.956,2,0,2,0.0,1.0,10.0,10.0,0.507,0.597,206.8,148495.0,0,Private / Mixed,Medium,High,0.733,9306,0.09900990099009901,1.5158440000000002
802597,Por Ramangamdi INA,Vadodara Rural,22.142991,73.180844,0.0,3.5549999999999997,2.8899999999999997,311.0,2.3600000000000003,0,0,0,0.0,1.0,0.0,35.0,0.548,0.596,0.0,26435.0,0,Private / Mixed,Medium,High,0.239,0,10.0,0.0
519915,Sama OG,Vadodara Rural,22.347302,73.207008,0.0,3.5549999999999997,2.8899999999999997,0.0,2.3600000000000003,0,0,0,0.0,1.0,0.0,35.0,0.55,0.587,0.0,0.0,0,Private / Mixed,Medium,High,0.239,0,10.0,0.0
521151,Dhamanja,Karjan,21.998056,73.080688,581.0,0.52,4.48,890.0,1.532,2,0,0,0.0,1.0,8.0,46.0,0.529,0.584,203.4,75650.0,0,Private / Mixed,Medium,High,0.727,9153,0.1234567901234568,1.478718
